Count	Name	Author	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Height	Hyperlink	Hyperlink Base	Keywords	Layer	Linetype	Linetype Scale	Lineweight	Obliquing	Plot Style	Position X	Position Y	Position Z	Rotation	Style	Subject	Thickness	Title	Total Editing Time	Value	VisualStyleId	Width Factor
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	81107	96382	0	0	TTP-HelCon		0		20132	(300x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	81181	92724	0	90	TTP-HelCon		0		20132	(300x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	76575	97269	0	90	TTP-HelCon		0		20132	DT8-BY-2(300x650/600)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	80633	97902	0	0	TTP-HelCon		0		20132	DT8-BX-10	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	16506	128263	0	90	TTP-HelCon		0		20132	DT8-AY-12(300x750)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	21825	97860	0	90	TTP-HelCon		0		20132	(250x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	11577	132850	0	90	TTP-HelCon		0		20132	DT8-AY-11(300x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text2	ByLayer	1	ByLayer	0	ByLayer	15460	97860	0	90	TTP-HelCon		0		20132	(250x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	38773	136664	0	0	TTP-HelCon		0		20132	DT8-AX-10 (300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	22614	136281	0	0	TTP-HelCon		0		20132	DT8-AX-5(300x400)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	17395	131314	0	0	TTP-HelCon		0		20132	DT8-AX-11(300x750/700)	(0)	1
1	Text		ByLayer			(0)	(0)	17/5/2021 2:15:51 pm	17/5/2021 2:15:51 pm	Mr Nhan	R:\BimESC\01_PROJECTS\CH GARDEN II-1909\02-ON PLACE\CAD\Acad\Phan Than	15/11/2019 10:18:28 pm	Mat bang dam san T3.dwg	1288992	400				'NS-Text1	ByLayer	1	ByLayer	0	ByLayer	19641	129515	0	0	TTP-HelCon		0		20132	DT8-AX-11(300x750/700)	(0)	1
