Count	Name	Area	Author	Closed	Color	Comments	Drawing Revision Number	EdgeStyleId	FaceStyleId	File Accessed	File Created	File Last Saved By	File Location	File Modified	File Name	File Size	Global Width	Hyperlink	Hyperlink Base	Keywords	Layer	Length	Linetype	Linetype Scale	Lineweight	Material	Plot Style	Subject	Thickness	Title	Total Editing Time	VisualStyleId	Height	Obliquing	Position X	Position Y	Position Z	Rotation	Style	Value	Width Factor	Angle	Associative	BackgroundColor	Double	Origin X	Origin Y	Pattern Name	Scale	Spacing	Type	Center X	Center Y	Center Z	Circumference	Diameter	Radius	Angle1	Delta X	Delta Y	Delta Z	End X	End Y	End Z	Start X	Start Y	Start Z	Dim Style	DynamicDimension	TextDefinedSize	Constant	Invisible	Lock Position	Preset	Prompt	Tag	Verify
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										305.31121	849.42402	-1200.40777	0.00000	2792327.57032	-618481.01145	0.00000	2791477.57032	-617281.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	7467.26188	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										20.37644	7001.24693	2596.64042	0.00000	2789189.45408	-590031.01145	0.00000	2782189.45408	-592631.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	7280.10989	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										344.05460	6999.03940	-2003.35905	0.00000	2789189.45408	-592631.01145	0.00000	2782189.45408	-590631.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	6705.22185	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										197.35402	-6400.95906	-1996.92842	0.00000	2782189.45408	-597431.01145	0.00000	2788589.45408	-595431.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	7467.26189	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										339.62356	6998.75146	-2603.35900	0.00000	2789289.21126	-480856.01144	0.00000	2782289.21126	-478256.01143	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	7000.00000	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										0.00000	6999.99919	-3.35928	0.00000	2789189.45408	-592631.01145	0.00000	2782189.45408	-592631.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	6400.24282	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										0.00000	6400.24208	-3.07146	0.00000	2788589.45408	-595431.01145	0.00000	2782189.21126	-595431.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1562.04994	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										219.80557	-1200.47976	-999.42401	0.00000	2691889.20947	-523031.01145	0.00000	2693089.20947	-522031.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										324.68879	1199.59195	-850.57578	0.00000	2693089.20947	-524031.01145	0.00000	2691889.20947	-523181.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1470.54412	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										215.31121	-1200.40777	-849.42402	0.00000	2691889.20947	-524031.01145	0.00000	2693089.20947	-523181.01145	0.00000										
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	6705.45361	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										342.64659	6399.28229	-2003.07123	0.00000	2788589.45408	-597431.01145	0.00000	2782189.21126	-595431.01145	0.00000										
1	Polyline	18199999.61593		True	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start lo mo	19199.99984	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Line				ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					$0$DMo	1562.04994	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																										320.19443	1199.51996	-1000.57576	0.00000	2693089.20947	-523031.01145	0.00000	2691889.20947	-522031.01145	0.00000										
1	Polyline	143899480.09945		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	34319.64399	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Polyline	0.00000		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	100.00000	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Polyline	0.00364		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	21400.00000	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Polyline	0.00000		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	13600.00094	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Polyline	1147499.99319		False	red			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	3449.99999	ByLayer	1.00000	ByLayer	ByLayer	Color_1		0.00000		3873447	(0)																																													
1	Polyline	0.00000		False	ByLayer			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512	0.00000				$0$CHG_XX_Damsan_Ham 2$0$Start net bao	100.00000	ByLayer	1.00000	ByLayer	ByLayer	ByLayer		0.00000		3873447	(0)																																													
1	Hatch	0.00000			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										180.00000	False		False	2756325.16585	-460895.59478	SOLID	100.00000	100.00000	PreDefined																										
1	Hatch	19713.13729			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										270.00000	False		False	2751502.24919	-554131.01145	SOLID	100.00000	100.00000	PreDefined																										
1	Hatch	0.00000			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										270.00000	False		False	2751502.24919	-554131.01145	SOLID	100.00000	100.00000	PreDefined																										
1	Hatch	19713.13729			ByBlock			(0)	(0)	10/05/2021 5:46:19 PM	07/05/2021 9:35:31 PM	USER	C:\Users\USER\Downloads\CHG\old\cad	10/05/2021 5:40:08 PM	Mat bang dam san H2.dwg	1352512					0		ByBlock	1.00000	ByBlock		ByBlock				3873447	(0)										180.00000	False		False	2724276.71123	-475895.59478	SOLID	100.00000	100.00000	PreDefined																										
